YEAR,PLAYER,PARTNER
2013,GARTER,LESTER
2013,PMAC,RICHO
2013,CHIEF,KAPPAZ
2013,AUTOBOT,JMERC
2014,CHIEF,GARTER
2014,PMAC,RICHO
2014,JMERC,MELONS
2014,KAPPAZ,LESTER
2015,GARTER,PMAC
2015,LESTER,MELONS
2015,CHIEF,RICHO
2015,JMERC,KAPPAZ
2016,JMERC,PMAC
2016,GARTER,KAPPAZ
2016,CHIEF,MELONS
2016,LESTER,RICHO
2017,JMERC,KAPPAZ
2017,CHIEF,RICHO
2017,LESTER,PMAC
2017,GARTER,MELONS
2018,PMAC,RICHO
2018,LESTER,MELONS
2018,CHIEF,GARTER
2018,MATT,KAPPAZ
2019,MELONS,PMAC
2019,CHIEF,LESTER
2019,KAPPAZ,RICHO
2019,GARTER,MATT
2020,CHIEF,PMAC
2020,MATT,RICHO
2020,KAPPAZ,MELONS
2020,GARTER,LESTER
2021,CHIEF,MATT
2021,GARTER,RICHO
2021,MELONS,PMAC
2021,KAPPAZ,LESTER
2022,PMAC,KAPPAZ
2022,GARTER,CHIEF
2022,LESTER,MATT
2023,LESTER,PMAC
2023,GARTER,MATT
2023,CHIEF,KAPPAZ
2023,MELONS,RICHO
2024,CHIEF,LESTER
2024,GARTER,PMAC
2024,MATT,MELONS
2024,KAPPAZ,RICHO
2025,PMAC,JAMES
2025,CHIEF,MELONS
2025,LESTER,RICHO
2025,GARTER,KAPPAZ
