"tier","DEF","MID","RUC","FWD"
1,"N.Wanganeen-Milera | STK","M.Bontempelli | WBD","T.Xerri | NTH","H.Sheezel | NTH (M)"
1,,"Z.Butters | PTA","M.Gawn | MEL",
1,,"M.Rowell | GCS","B.Grundy | SYD",
1,,"N.Daicos | COL","L.Jackson | FRE",
1,,"B.Smith | GEE",,
1,,"J.Dunkley | BRL",,
1,,"A.Brayshaw | FRE",,
1,,"N.Anderson | GCS",,
1,,"H.McCluggage | BRL",,
1,,"I.Heeney | SYD",,
2,"L.Whitfield | GWS","C.Serong | FRE","T.English | WBD","I.Rankine | ADE (M)"
2,"L.Ash | GWS","J.Dawson | ADE",,"R.Thilthorpe | ADE"
2,,"M.Holmes | GEE",,"S.Darcy | WBD"
2,,"E.Richards | WBD",,
2,,"T.Miller | GCS",,
2,,"F.Callaghan | GWS",,
3,"J.Sinclair | STK","Z.Merrett | ESS","D.Cameron | COL","G.Miers | GEE"
3,"J.Clark | FRE","T.Liberatore | WBD",,"H.McKay | CAR"
3,"C.Rozee | PTA (M)","G.Hewett | CAR",,"D.Moore | HAW"
3,,"E.Gulden | SYD",,
3,,"W.Ashcroft | BRL",,
3,,"S.Walsh | CAR",,
4,"D.Zorko | BRL","L.Neale | BRL","R.Marshall | STK","C.Petracca | GCS (M)"
4,"R.Laird | ADE","J.Macrae | STK","J.Witts | GCS","J.McInerney | SYD (M)"
4,"B.Dale | WBD","L.Davies-Uniacke | NTH","L.Meek | HAW","K.Pickett | MEL (M)"
4,"N.Blakey | SYD","J.Caldwell | ESS","T.De Koning | STK","Z.Bailey | BRL (M)"
4,"C.Mills | SYD","J.Horne-Francis | PTA",,"J.Graham | WCE (M)"
4,,"J.Newcombe | HAW",,
4,,"T.Taranto | RIC",,
4,,"A.Cerra | CAR",,
4,,"H.Young | FRE",,
5,"T.Stewart | GEE","P.Cripps | CAR","T.Nankervis | RIC","J.Cameron | GEE"
5,"J.Ridley | ESS","S.Pendlebury | COL",,"J.Gunston | HAW"
5,"J.Daicos | COL","T.Atkins | GEE",,"J.Simpkin | NTH (M)"
5,"T.McCarthy | WCE","Ch.Warner | SYD",,"S.Mannagh | GEE"
5,"M.Redman | ESS","M.Kennedy | WBD",,"B.Daniels | GWS"
5,"J.Noble | GCS","W.Setterfield | ESS",,"B.Keays | ADE"
5,"C.Daniel | NTH",,,
5,"C.Wilkie | STK",,,
6,"L.Ryan | FRE","J.Steele | MEL","R.O'Brien | ADE","A.Treloar | WBD (M)"
6,"K.Amon | HAW","O.Wines | PTA","M.Pittonet | CAR","P.Dangerfield | GEE"
6,"N.Vlastuin | RIC","S.Sidebottom | COL","K.Briggs | GWS","T.Greene | GWS"
6,"H.Himmelberg | GWS","S.Durham | ESS",,"J.Treacy | FRE"
6,"J.Worrell | ADE","D.Parish | ESS",,"S.Bolton | FRE (M)"
6,"L.Baker | WCE","C.Oliver | GWS",,"P.Wright | ESS"
6,"K.Farrell | PTA","J.Soligo | ADE",,"A.Naughton | WBD"
6,"M.Roberts | SYD","J.Hopper | RIC",,"J.Freijah | WBD (M)"
6,"J.Fletcher | BRL","J.Berry | BRL",,"J.Ross | RIC (M)"
6,"R.Maric | WCE","B.Fiorini | ESS",,"L.Schultz | COL"
6,"A.McGrath | ESS","G.Stevens | GEE",,"P.Curtis | NTH"
6,"C.McKercher | NTH","J.Tunstill | BRL",,"B.Humphrey | GCS (M)"
6,,,,"J.Rachele | ADE"
6,,,,"S.Flanders | STK"
6,,,,"C.Rayner | BRL"
7,"J.Sicily | HAW","J.Crisp | COL","J.Sweet | PTA","A.Neal-Bullen | ADE"
7,"C.Salem | MEL","L.Parker | NTH","N.Madden | GWS","J.Ginnivan | HAW"
7,"D.Rioli | GCS","T.Powell | NTH","M.Flynn | WCE","M.Hall | STK"
7,"C.Idun | GWS","J.Ward | HAW","S.Darcy | FRE","P.Lipinski | COL (M)"
7,"D.Wilmot | BRL","N.Long | COL",,"C.Macdonald | HAW"
7,"A.Roberts | ESS","A.Sheldrick | SYD",,"M.Georgiades | PTA"
7,"H.Andrews | BRL","J.Rowbottom | SYD",,"K.Chandler | MEL"
7,"M.Bergman | PTA","W.Drew | PTA",,"R.Sanders | WBD (M)"
7,"J.Jeffrey | GCS","J.Worpel | GEE",,"M.Cottrell | CAR (M)"
7,"S.Banks | RIC",,,"W.Hayward | CAR"
7,"D.Houston | COL",,,
7,"W.Powell | GCS",,,
7,"L.Duggan | WCE",,,
7,"Z.Guthrie | GEE",,,
8,"S.May | MEL","G.Wardlaw | NTH",,"T.Kelly | WCE (M)"
8,"J.Impey | HAW","E.Mackinlay | PTA",,"J.Hogan | GWS"
8,"J.Short | RIC","X.Duursma | ESS",,"J.Elliott | COL"
8,"A.Saad | CAR","O.Dempsey | GEE",,"Z.Williams | CAR"
8,"T.Rivers | MEL","M.Windhager | STK",,"C.Curnow | SYD"
8,"J.Battle | HAW","J.Peatling | ADE",,"S.Switkowski | FRE"
8,"B.Williams | WBD (M)","A.Davies | GCS",,"C.Trembath | NTH"
8,"J.Weddle | HAW","K.McAuliffe | RIC",,"T.Papley | SYD"
8,"B.Maynard | COL","S.Berry | ADE",,"M.Reid | FRE"
8,"J.Weitering | CAR","J.Bowes | GEE",,"R.West | WBD"
8,"S.Taylor | GWS",,,"N.Larkey | NTH"
8,"W.Milera | ADE",,,"J.Richards | PTA"
